"","diff","lwr","upr","p adj"
"Coastal Plain-Barrier Estuary",1.3979836928631,-1.11322681825662,3.90919420398281,0.669954057944525
"Fjord-Barrier Estuary",1.43230024525154,-0.398043215769575,3.26264370627266,0.24094161955936
"LSE-Barrier Estuary",0.0274088506907892,-0.737344164774896,0.792161866156475,0.999999988260685
"Macrotidal-Barrier Estuary",1.95091411305385,1.02955174783563,2.87227647827207,8.34195806875826e-08
"Open-Barrier Estuary",1.90843167660399,1.1254242300477,2.69143912316028,1.29948374283373e-09
"Ria-Barrier Estuary",0.58992736221573,-0.5845838076187,1.76443853205016,0.773590334323894
"Tidal Inlet-Barrier Estuary",1.20844498621346,-0.0471602693463919,2.46405024177332,0.0679946660111912
"Fjord-Coastal Plain",0.0343165523884449,-2.94361278484676,3.01224588962365,0.999999999995845
"LSE-Coastal Plain",-1.37057484217231,-3.84094994059911,1.09980025625449,0.673761390204875
"Macrotidal-Coastal Plain",0.552930420190752,-1.97032433514092,3.07618517552242,0.997345692884593
"Open-Coastal Plain",0.510447983740895,-1.96563897224954,2.98653493973133,0.998198199213036
"Ria-Coastal Plain",-0.808056330647366,-3.43434314672995,1.81823048543522,0.979503104523558
"Tidal Inlet-Coastal Plain",-0.189538706649631,-2.85307967874916,2.4740022654499,0.999998612067823
"LSE-Fjord",-1.40489139456075,-3.17879445873079,0.369011669609286,0.227547779090949
"Macrotidal-Fjord",0.518613867802307,-1.32821950704462,2.36544724264924,0.987919626003028
"Open-Fjord",0.476131431352451,-1.30571748698226,2.25798034968716,0.991003161234975
"Ria-Fjord",-0.842372883035811,-2.82765910785928,1.14291334178766,0.89048720585687
"Tidal Inlet-Fjord",-0.223855259038076,-2.25816827924847,1.81045776117231,0.999972163474967
"Macrotidal-LSE",1.92350526236306,1.12008538221967,2.72692514250644,2.0211657902891e-09
"Open-LSE",1.8810228259132,1.24096379962603,2.52108185220038,4.82847317684332e-10
"Ria-LSE",0.56251851152494,-0.521940516670654,1.64697753972054,0.743775090243423
"Tidal Inlet-LSE",1.18103613552268,0.00923433762397541,2.35283793342137,0.0467957867252605
"Open-Macrotidal",-0.0424824364498567,-0.86329726971516,0.778332396815446,0.999999847860427
"Ria-Macrotidal",-1.36098675083812,-2.56103375708895,-0.160939744587283,0.0150068803538941
"Tidal Inlet-Macrotidal",-0.742469126840383,-2.0219928221799,0.53705456849913,0.621762239575895
"Ria-Open",-1.31850431438826,-2.4159125659217,-0.221096062854826,0.00774788600650367
"Tidal Inlet-Open",-0.699986690390527,-1.88378267799032,0.483809297209263,0.59884441780815
"Tidal Inlet-Ria",0.618517623997735,-0.853810045701034,2.0908452936965,0.895488654321333
